,KEW.PS-3/BAKERI/89,BISKUT OREO (CRUMB),1
,KEW.PS-3/BAKERI/90,BISKUT CREAM CRACKER,1
,KEW.PS-3/BAKERI/91,BISKUT LADY FINGER,1
,KEW.PS-3/BAKERI/92,BREAD CRUMB / SERBUK ROTI,1
,KEW.PS-3/BAKERI/93,BUTTERCUP (TONG),1
,KEW.PS-3/BAKERI/94,BUTTERCUP (BLOK),1
,KEW.PS-3/BAKERI/95,BUTTER (SALTED),1
,KEW.PS-3/BAKERI/96,BUTTER (UNSALTED),1
,KEW.PS-3/BAKERI/97,BUTTERMILK,1
,KEW.PS-3/BAKERI/98,BUTTER SHEET,1
,KEW.PS-3/BAKERI/99,BAKERI – MARJERIN PASTRY,1
,KEW.PS-3/BAKERI/100,BAKERI – MARJERIN,1
,KEW.PS-3/BAKERI/101,BAKERI – OVALETE,1
,KEW.PS-3/BAKERI/102,BAKERI – JEM STRAWBERRY,1
,KEW.PS-3/BAKERI/103,BAKERI – JEM BLUEBERRY,1
,KEW.PS-3/BAKERI/104,BAKERI – JEM NENAS,1
,KEW.PS-3/BAKERI/105,BAKERI – JEM APRIKOT,1
,KEW.PS-3/BAKERI/106,BAKERI – KAYA,1
,KEW.PS-3/BAKERI/107,BAKERI – COKLAT SPREAD,1
,KEW.PS-3/BAKERI/108,BAKERI – PEANUT SPREAD,1
,KEW.PS-3/BAKERI/109,BAKERI – INTI KACANG MERAH,1
,KEW.PS-3/BAKERI/110,BAKERI – FILLING COKLAT,1
,KEW.PS-3/BAKERI/111,BAKERI – FILLING STRAWBERRY,1
,KEW.PS-3/BAKERI/112,BAKERI – FILLING BLUEBERRY,1
,KEW.PS-3/BAKERI/113,BAKERI – INTI PANDAN LOTUS/DOUYONG,1
,KEW.PS-3/BAKERI/114,BAKERI – EDIBLE GOLD DUST,1
,KEW.PS-3/BAKERI/115,BAKERI – FONDANT ,1
,KEW.PS-3/BAKERI/116,BAKERI – DUMPLING PASTRY,
,KEW.PS-3/BAKERI/117,BAKERI – TOPPUFF PASTRY MARGARINE,1
,KEW.PS-3/BAKERI/118,BAKERI – KULIT POPIA,1
,KEW.PS-3/BAKERI/119,BAKERI – TORTILLA WRAP,1
,KEW.PS-3/BAKERI/120,CREAM CHEESE,1
,KEW.PS-3/BAKERI/121,CHEESE SLICE(KEPING),1
,KEW.PS-3/BAKERI/122,CHEESE (BLOK),1
,KEW.PS-3/BAKERI/123,CHEESE MOZARELLA (BLOK),1
,KEW.PS-3/BAKERI/124,CHEESE SHREDDED ,1
,KEW.PS-3/BAKERI/125,CHEESE POWDER,1
,KEW.PS-3/BAKERI/126,CHEESE PARMESAN,1
,KEW.PS-3/BAKERI/127,CHEESE MARCAPONE,
,KEW.PS-3/BAKERI/128,CREAMWELL,1
,KEW.PS-3/BAKERI/129,CONFLAKES,1
,KEW.PS-3/BAKERI/130,CINCAU,1
,KEW.PS-3/BAKERI/131,CILI BOH/CILI GILING,1
,KEW.PS-3/BAKERI/132,CILI KERING,1
,KEW.PS-3/BAKERI/133,CUKA,1
,KEW.PS-3/BAKERI/134,CREAM OF TARTAR,1
,KEW.PS-3/BAKERI/135,CORN SYRUP,1
,KEW.PS-3/BAKERI/136,CHOKI-CHOKI,1
,KEW.PS-3/BAKERI/137,CADBURY,1
,KEW.PS-3/BAKERI/138,COKLAT – KINDER BUENO,1
,KEW.PS-3/BAKERI/139,COKLAT (DARK),1
,KEW.PS-3/BAKERI/140,COKLAT (MILK),1
,KEW.PS-3/BAKERI/141,COKLAT (WHITE),1
,KEW.PS-3/BAKERI/142,CHOCOLATE CHIP,1
,KEW.PS-3/BAKERI/143,CHOCOLATE RICE,1
,KEW.PS-3/BAKERI/144,COLOUR RICE,1
,KEW.PS-3/BAKERI/145,DAGING - KISAR,1
,KEW.PS-3/BAKERI/146,DAGING - BURGER,1
,KEW.PS-3/BAKERI/147,DAGING - HAM,1
,KEW.PS-3/BAKERI/148,DAGING BEBOLA - (MEATBALL),1
,KEW.PS-3/BAKERI/149,DAGING – BEEF PEPPERONI ,1
,KEW.PS-3/BAKERI/150,DAGING – BEEF SALAMI,1
,KEW.PS-3/BAKERI/151,DAUN BAWANG ,1
,KEW.PS-3/BAKERI/152,DAUN SUP ,1
,KEW.PS-3/BAKERI/153,DAUN KETUMBAR,
